,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,Concatenated_Text
255,fargo,"crime, drama, thriller",jerri lundegaard inept crime fall apart due henchmen bungl persist polic work quit pregnant marg gunderson,joel coen,ethan coen,william h. macy,frances mcdormand,steve buscemi,"fargo crime, drama, thriller jerri lundegaard inept crime fall apart due henchmen bungl persist polic work quit pregnant marg gunderson joel coen ethan coen william h. macy frances mcdormand steve buscemi"
256,underground,"comedy, drama, war",group serbian socialist prepar war surreal underground fill parti tragedi love hate,emir kusturica,predrag 'miki' manojlovic,lazar ristovski,mirjana jokovic,slavko stimac,"underground comedy, drama, war group serbian socialist prepar war surreal underground fill parti tragedi love hate emir kusturica predrag 'miki' manojlovic lazar ristovski mirjana jokovic slavko stimac"
257,la haine,"crime, drama",hour live three young men french suburb day violent riot,mathieu kassovitz,vincent cassel,hubert koundé,saïd taghmaoui,abdel ahmed ghili,"la haine crime, drama hour live three young men french suburb day violent riot mathieu kassovitz vincent cassel hubert koundé saïd taghmaoui abdel ahmed ghili"
258,dilwale dulhania le jayenge,"drama, romance",raj meet simran europ isnt love first sight simran move india arrang marriag love make presenc felt,aditya chopra,shah rukh khan,kajol,amrish puri,farida jalal,"dilwale dulhania le jayenge drama, romance raj meet simran europ isnt love first sight simran move india arrang marriag love make presenc felt aditya chopra shah rukh khan kajol amrish puri farida jalal"
259,before sunrise,"drama, romance",young man woman meet train europ wind spend one even togeth vienna unfortun know probabl night togeth,richard linklater,ethan hawke,julie delpy,andrea eckert,hanno pöschl,"before sunrise drama, romance young man woman meet train europ wind spend one even togeth vienna unfortun know probabl night togeth richard linklater ethan hawke julie delpy andrea eckert hanno pöschl"
260,trois couleurs: rouge,"drama, mystery, romance",model discov retir judg keen invad peopl privaci,krzysztof kieslowski,irène jacob,jean-louis trintignant,frédérique feder,jean-pierre lorit,"trois couleurs: rouge drama, mystery, romance model discov retir judg keen invad peopl privaci krzysztof kieslowski irène jacob jean-louis trintignant frédérique feder jean-pierre lorit"
261,chung hing sam lam,"comedy, crime, drama",two melancholi hong kong policemen fall love one mysteri femal underworld figur beauti ether server latenight restaur frequent,kar-wai wong,brigitte lin,takeshi kaneshiro,tony chiu-wai leung,faye wong,"chung hing sam lam comedy, crime, drama two melancholi hong kong policemen fall love one mysteri femal underworld figur beauti ether server latenight restaur frequent kar-wai wong brigitte lin takeshi kaneshiro tony chiu-wai leung faye wong"
262,jurassic park,"action, adventure, sci-fi",pragmat paleontologist visit almost complet theme park task protect coupl kid power failur caus park clone dinosaur run loos,steven spielberg,sam neill,laura dern,jeff goldblum,richard attenborough,"jurassic park action, adventure, sci-fi pragmat paleontologist visit almost complet theme park task protect coupl kid power failur caus park clone dinosaur run loos steven spielberg sam neill laura dern jeff goldblum richard attenborough"
263,in the name of the father,"biography, crime, drama",man coerc confess ira bomb commit result imprison father well english lawyer fight free,jim sheridan,daniel day-lewis,pete postlethwaite,alison crosbie,philip king,"in the name of the father biography, crime, drama man coerc confess ira bomb commit result imprison father well english lawyer fight free jim sheridan daniel day-lewis pete postlethwaite alison crosbie philip king"
264,ba wang bie ji,"drama, music, romance",two boy meet opera train school peke result friendship span nearli year endur troublesom time china histori,kaige chen,leslie cheung,fengyi zhang,gong li,you ge,"ba wang bie ji drama, music, romance two boy meet opera train school peke result friendship span nearli year endur troublesom time china histori kaige chen leslie cheung fengyi zhang gong li you ge"
265,dà hóng denglong gaogao guà,"drama, history, romance",young woman becom fourth wife wealthi lord must learn live strict rule tension within household,yimou zhang,gong li,jingwu ma,saifei he,cuifen cao,"dà hóng denglong gaogao guà drama, history, romance young woman becom fourth wife wealthi lord must learn live strict rule tension within household yimou zhang gong li jingwu ma saifei he cuifen cao"
266,dead poets society,"comedy, drama",maverick teacher john keat use poetri embolden board school student new height selfexpress,peter weir,robin williams,robert sean leonard,ethan hawke,josh charles,"dead poets society comedy, drama maverick teacher john keat use poetri embolden board school student new height selfexpress peter weir robin williams robert sean leonard ethan hawke josh charles"
267,stand by me,"adventure, drama",death one friend writer recount childhood journey friend find bodi miss boy,rob reiner,wil wheaton,river phoenix,corey feldman,jerry o'connell,"stand by me adventure, drama death one friend writer recount childhood journey friend find bodi miss boy rob reiner wil wheaton river phoenix corey feldman jerry o'connell"
268,platoon,"drama, war",chri taylor neophyt recruit vietnam find caught battl will two sergeant one good evil shrewd examin brutal war dualiti man conflict,oliver stone,charlie sheen,tom berenger,willem dafoe,keith david,"platoon drama, war chri taylor neophyt recruit vietnam find caught battl will two sergeant one good evil shrewd examin brutal war dualiti man conflict oliver stone charlie sheen tom berenger willem dafoe keith david"
269,"paris, texas",drama,travi henderson aimless drifter miss four year wander desert must reconnect societi life famili,wim wenders,harry dean stanton,nastassja kinski,dean stockwell,aurore clément,"paris, texas drama travi henderson aimless drifter miss four year wander desert must reconnect societi life famili wim wenders harry dean stanton nastassja kinski dean stockwell aurore clément"
270,kaze no tani no naushika,"animation, adventure, fantasy",warrior pacifist princess nausica desper struggl prevent two war nation destroy die planet,hayao miyazaki,sumi shimamoto,mahito tsujimura,hisako kyôda,gorô naya,"kaze no tani no naushika animation, adventure, fantasy warrior pacifist princess nausica desper struggl prevent two war nation destroy die planet hayao miyazaki sumi shimamoto mahito tsujimura hisako kyôda gorô naya"
271,the thing,"horror, mystery, sci-fi",research team antarctica hunt shapeshift alien assum appear victim,john carpenter,kurt russell,wilford brimley,keith david,richard masur,"the thing horror, mystery, sci-fi research team antarctica hunt shapeshift alien assum appear victim john carpenter kurt russell wilford brimley keith david richard masur"
272,pink floyd: the wall,"drama, fantasy, music",confin troubl rock star descend mad midst physic social isol everyon,alan parker,bob geldof,christine hargreaves,james laurenson,eleanor david,"pink floyd: the wall drama, fantasy, music confin troubl rock star descend mad midst physic social isol everyon alan parker bob geldof christine hargreaves james laurenson eleanor david"
273,fitzcarraldo,"adventure, drama",stori brian sweeney fitzgerald extrem determin man intend build opera hous middl jungl,werner herzog,klaus kinski,claudia cardinale,josé lewgoy,miguel ángel fuentes,"fitzcarraldo adventure, drama stori brian sweeney fitzgerald extrem determin man intend build opera hous middl jungl werner herzog klaus kinski claudia cardinale josé lewgoy miguel ángel fuentes"
274,fanny och alexander,drama,two young swedish children experi mani comedi tragedi famili ekdahl,ingmar bergman,bertil guve,pernilla allwin,kristina adolphson,börje ahlstedt,fanny och alexander drama two young swedish children experi mani comedi tragedi famili ekdahl ingmar bergman bertil guve pernilla allwin kristina adolphson börje ahlstedt
275,blade runner,"action, sci-fi, thriller",blade runner must pursu termin four replic stole ship space return earth find creator,ridley scott,harrison ford,rutger hauer,sean young,edward james olmos,"blade runner action, sci-fi, thriller blade runner must pursu termin four replic stole ship space return earth find creator ridley scott harrison ford rutger hauer sean young edward james olmos"
