,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,Concatenated_Text
82,sunset blvd.,"drama, film-noir",screenwrit develop danger relationship fade film star determin make triumphant return,billy wilder,william holden,gloria swanson,erich von stroheim,nancy olson,"sunset blvd. drama, film-noir screenwrit develop danger relationship fade film star determin make triumphant return billy wilder william holden gloria swanson erich von stroheim nancy olson"
83,the great dictator,"comedy, drama, war",dictat adenoid hynkel tri expand empir poor jewish barber tri avoid persecut hynkel regim,charles chaplin,charles chaplin,paulette goddard,jack oakie,reginald gardiner,"the great dictator comedy, drama, war dictat adenoid hynkel tri expand empir poor jewish barber tri avoid persecut hynkel regim charles chaplin charles chaplin paulette goddard jack oakie reginald gardiner"
84,1917,"drama, thriller, war",april th regiment assembl wage war deep enemi territori two soldier assign race time deliv messag stop men walk straight deadli trap,sam mendes,dean-charles chapman,george mackay,daniel mays,colin firth,"1917 drama, thriller, war april th regiment assembl wage war deep enemi territori two soldier assign race time deliv messag stop men walk straight deadli trap sam mendes dean-charles chapman george mackay daniel mays colin firth"
85,tumbbad,"drama, fantasy, horror",mytholog stori goddess creat entir univers plot revolv around consequ human build templ firstborn,rahi anil barve,anand gandhi,adesh prasad,sohum shah,jyoti malshe,"tumbbad drama, fantasy, horror mytholog stori goddess creat entir univers plot revolv around consequ human build templ firstborn rahi anil barve anand gandhi adesh prasad sohum shah jyoti malshe"
86,andhadhun,"crime, drama, music",seri mysteri event chang life blind pianist must report crime technic know noth,sriram raghavan,ayushmann khurrana,tabu,radhika apte,anil dhawan,"andhadhun crime, drama, music seri mysteri event chang life blind pianist must report crime technic know noth sriram raghavan ayushmann khurrana tabu radhika apte anil dhawan"
87,drishyam,"crime, drama, thriller",man goe extrem length save famili punish famili commit accident crime,jeethu joseph,mohanlal,meena,asha sharath,ansiba,"drishyam crime, drama, thriller man goe extrem length save famili punish famili commit accident crime jeethu joseph mohanlal meena asha sharath ansiba"
88,jagten,drama,teacher live lone life struggl son custodi life slowli get better find love receiv good news son new luck brutal shatter innoc littl lie,thomas vinterberg,mads mikkelsen,thomas bo larsen,annika wedderkopp,lasse fogelstrøm,jagten drama teacher live lone life struggl son custodi life slowli get better find love receiv good news son new luck brutal shatter innoc littl lie thomas vinterberg mads mikkelsen thomas bo larsen annika wedderkopp lasse fogelstrøm
89,jodaeiye nader az simin,drama,marri coupl face difficult decis improv life child move anoth countri stay iran look deterior parent alzheim diseas,asghar farhadi,payman maadi,leila hatami,sareh bayat,shahab hosseini,jodaeiye nader az simin drama marri coupl face difficult decis improv life child move anoth countri stay iran look deterior parent alzheim diseas asghar farhadi payman maadi leila hatami sareh bayat shahab hosseini
90,incendies,"drama, mystery, war",twin journey middl east discov famili histori fulfil mother last wish,denis villeneuve,lubna azabal,mélissa désormeaux-poulin,maxim gaudette,mustafa kamel,"incendies drama, mystery, war twin journey middl east discov famili histori fulfil mother last wish denis villeneuve lubna azabal mélissa désormeaux-poulin maxim gaudette mustafa kamel"
91,miracle in cell no.7,drama,stori love mentallyil father wrongli accus murder love six year old daughter prison would home base korean movi beonbangui seonmul,mehmet ada öztekin,aras bulut iynemli,nisa sofiya aksongur,deniz baysal,celile toyon uysal,miracle in cell no.7 drama stori love mentallyil father wrongli accus murder love six year old daughter prison would home base korean movi beonbangui seonmul mehmet ada öztekin aras bulut iynemli nisa sofiya aksongur deniz baysal celile toyon uysal
92,babam ve oglum,"drama, family",famili leftw journalist torn apart militari coup turkey,çagan irmak,çetin tekindor,fikret kuskan,hümeyra,ege tanman,"babam ve oglum drama, family famili leftw journalist torn apart militari coup turkey çagan irmak çetin tekindor fikret kuskan hümeyra ege tanman"
93,inglourious basterds,"adventure, drama, war",nazioccupi franc world war ii plan assassin nazi leader group jewish us soldier coincid theatr owner veng plan,quentin tarantino,brad pitt,diane kruger,eli roth,mélanie laurent,"inglourious basterds adventure, drama, war nazioccupi franc world war ii plan assassin nazi leader group jewish us soldier coincid theatr owner veng plan quentin tarantino brad pitt diane kruger eli roth mélanie laurent"
94,eternal sunshine of the spotless mind,"drama, romance, sci-fi",relationship turn sour coupl undergo medic procedur eras memori,michel gondry,jim carrey,kate winslet,tom wilkinson,gerry robert byrne,"eternal sunshine of the spotless mind drama, romance, sci-fi relationship turn sour coupl undergo medic procedur eras memori michel gondry jim carrey kate winslet tom wilkinson gerry robert byrne"
95,amélie,"comedy, romance",amli innoc naiv girl pari sens justic decid help around along way discov love,jean-pierre jeunet,audrey tautou,mathieu kassovitz,rufus,lorella cravotta,"amélie comedy, romance amli innoc naiv girl pari sens justic decid help around along way discov love jean-pierre jeunet audrey tautou mathieu kassovitz rufus lorella cravotta"
96,snatch,"comedy, crime",unscrupul box promot violent bookmak russian gangster incompet amateur robber supposedli jewish jewel fight track priceless stolen diamond,guy ritchie,jason statham,brad pitt,benicio del toro,dennis farina,"snatch comedy, crime unscrupul box promot violent bookmak russian gangster incompet amateur robber supposedli jewish jewel fight track priceless stolen diamond guy ritchie jason statham brad pitt benicio del toro dennis farina"
97,requiem for a dream,drama,druginduc utopia four coney island peopl shatter addict run deep,darren aronofsky,ellen burstyn,jared leto,jennifer connelly,marlon wayans,requiem for a dream drama druginduc utopia four coney island peopl shatter addict run deep darren aronofsky ellen burstyn jared leto jennifer connelly marlon wayans
98,american beauty,drama,sexual frustrat suburban father midlif crisi becom infatu daughter best friend,sam mendes,kevin spacey,annette bening,thora birch,wes bentley,american beauty drama sexual frustrat suburban father midlif crisi becom infatu daughter best friend sam mendes kevin spacey annette bening thora birch wes bentley
99,good will hunting,"drama, romance",hunt janitor mit gift mathemat need help psychologist find direct life,gus van sant,robin williams,matt damon,ben affleck,stellan skarsgård,"good will hunting drama, romance hunt janitor mit gift mathemat need help psychologist find direct life gus van sant robin williams matt damon ben affleck stellan skarsgård"
100,bacheha-ye aseman,"drama, family, sport",boy lose sister pair shoe goe seri adventur order find cant tri new way win new pair,majid majidi,mohammad amir naji,amir farrokh hashemian,bahare seddiqi,nafise jafar-mohammadi,"bacheha-ye aseman drama, family, sport boy lose sister pair shoe goe seri adventur order find cant tri new way win new pair majid majidi mohammad amir naji amir farrokh hashemian bahare seddiqi nafise jafar-mohammadi"
101,toy story,"animation, adventure, comedy",cowboy doll profoundli threaten jealou new spaceman figur supplant top toy boy room,john lasseter,tom hanks,tim allen,don rickles,jim varney,"toy story animation, adventure, comedy cowboy doll profoundli threaten jealou new spaceman figur supplant top toy boy room john lasseter tom hanks tim allen don rickles jim varney"
102,braveheart,"biography, drama, history",scottish warrior william wallac lead countrymen rebellion free homeland tyranni king edward england,mel gibson,mel gibson,sophie marceau,patrick mcgoohan,angus macfadyen,"braveheart biography, drama, history scottish warrior william wallac lead countrymen rebellion free homeland tyranni king edward england mel gibson mel gibson sophie marceau patrick mcgoohan angus macfadyen"
103,reservoir dogs,"crime, drama, thriller",simpl jewelri heist goe horribl wrong surviv crimin begin suspect one polic inform,quentin tarantino,harvey keitel,tim roth,michael madsen,chris penn,"reservoir dogs crime, drama, thriller simpl jewelri heist goe horribl wrong surviv crimin begin suspect one polic inform quentin tarantino harvey keitel tim roth michael madsen chris penn"
104,full metal jacket,"drama, war",pragmat us marin observ dehuman effect vietnam war fellow recruit brutal boot camp train bloodi street fight hue,stanley kubrick,matthew modine,r. lee ermey,vincent d'onofrio,adam baldwin,"full metal jacket drama, war pragmat us marin observ dehuman effect vietnam war fellow recruit brutal boot camp train bloodi street fight hue stanley kubrick matthew modine r. lee ermey vincent d'onofrio adam baldwin"
105,idi i smotri,"drama, thriller, war",find old rifl young boy join soviet resist movement ruthless german forc experi horror world war ii,elem klimov,aleksey kravchenko,olga mironova,liubomiras laucevicius,vladas bagdonas,"idi i smotri drama, thriller, war find old rifl young boy join soviet resist movement ruthless german forc experi horror world war ii elem klimov aleksey kravchenko olga mironova liubomiras laucevicius vladas bagdonas"
106,aliens,"action, adventure, sci-fi",fiftyseven year surviv apocalypt attack aboard space vessel merciless space creatur offic ripley awaken hypersleep tri warn anyon listen predat,james cameron,sigourney weaver,michael biehn,carrie henn,paul reiser,"aliens action, adventure, sci-fi fiftyseven year surviv apocalypt attack aboard space vessel merciless space creatur offic ripley awaken hypersleep tri warn anyon listen predat james cameron sigourney weaver michael biehn carrie henn paul reiser"
